Track Name,Artist Name(s),Album Name,Album Release Date,Track Number,Explicit
Power is Power (feat. The Weeknd & Travis Scott),"SZA, The Weeknd, Travis Scott, Game of Thrones",For The Throne (Music Inspired by the HBO Series Game of Thrones),4/26/2019,2,false
7 rings,Ariana Grande,"thank u, next",2/8/2019,10,true
House of Memories,Panic! At The Disco,Death of a Bachelor,1/15/2016,10,false
Uprising,Muse,The Resistance,9/10/2009,1,false
Automatic (feat. Jenn Wasner),"Big Data, Jenn Wasner",2,2013,7,false
All Day All Night,Sivik,All Day All Night,11/4/2016,1,false
Go Fuck Yourself,Two Feet,First Steps,7/29/2016,1,true
RISE,"League of Legends, Mako, The Word Alive, The Glitch Mob",RISE,9/28/2018,1,false
Awaken,"League of Legends, Valerie Broussard, Ray Chen",Awaken,1/22/2019,1,false
Mr. Blue Sky - 2012 Version,Electric Light Orchestra,Mr. Blue Sky: The Very Best of Electric Light Orchestra,9/10/2012,1,false
Kangaroo Court,Capital Cities,In A Tidal Wave Of Mystery (Deluxe Edition),2013,3,false
Woke Up Late (feat. Hailee Steinfeld),"Drax Project, Hailee Steinfeld",Woke Up Late (feat. Hailee Steinfeld),1/21/2019,1,false
All My Friends,Madeon,All My Friends,5/31/2019,1,false
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),"Martin Garrix, Macklemore, Fall Out Boy",Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),4/25/2019,1,true
Girls Like You (feat. Cardi B) - Cardi B Version,"Maroon 5, Cardi B",Red Pill Blues (Deluxe),6/15/2018,16,true
Sad Song (feat. TINI),"Alesso, TINI",Sad Song (feat. TINI),6/14/2019,1,false
Here With Me,"Marshmello, CHVRCHES",Here With Me,3/8/2019,1,false
Rescue Me,OneRepublic,Rescue Me,5/17/2019,1,false
Pompeii,Bastille,Bad Blood,1/1/2013,1,false
Death of a Bachelor,Panic! At The Disco,Death of a Bachelor,1/15/2016,5,false
Do I Wanna Know?,Arctic Monkeys,AM,9/9/2013,1,false
Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,9/9/2013,9,false
Lowlife,That Poppy,Bubblebath,6/10/2016,1,true
"Hey Look Ma, I Made It",Panic! At The Disco,Pray for the Wicked,6/22/2018,3,false
Paris,The Chainsmokers,Memories...Do Not Open,4/7/2017,8,false
